conditionId,name,description,severity,treatment
533,Paronychia - chronic,Cellulitis and abscess of unspecified digit,,
534,Rhinitis - chronic,Chronic rhinitis,,
535,Impetigo,Impetigo,,
536,Hilar node -  calcified,"Other diseases of lung, not elsewhere classified",,
537,Glaucoma - chronic angle closure,Chronic angle-closure glaucoma,,
538,Glucose-6-phosphate dehydrogenase (G6PD) deficiency,Anemias due to disorders of glutathione metabolism,,
539,Nevus - intradermal,"Benign neoplasm of skin, site unspecified",,
540,Carcinoma - non-small cell type,,,
541,Malignant mixed tumor,Other malignant neoplasm of unspecified site,,
542,Scar,Scar conditions and fibrosis of skin,,
543,Duodenal ulcer repair,,,
544,Pyloromyotomy,,,
545,Pyorrhea,"Chronic periodontitis, unspecified",,
546,Fetal demise,Unspecified condition originating in the perinatal period,,
547,Giant cell arteritis,Giant cell arteritis,,
548,Myxedema,Unspecified hypothyroidism,,
549,Testicular torsion,"Torsion of testis, unspecified",,
550,Epigastric pain,"Abdominal pain, epigastric",,
551,Breast tender,Unspecified breast disorder,,
552,Monoclonal gammopathy,Monoclonal paraproteinemia,,
553,Appendicitis,"Appendicitis, unqualified",,
554,Fetal alcohol syndrome,Alcohol affecting fetus or newborn via placenta or breast milk,,
555,Berylliosis,Pneumoconiosis due to other inorganic dust,,
556,Peritoneal extravasation,Unspecified peritonitis,,
557,Cheilosis,Diseases of lips,,
558,Oral ulcer,Other and unspecified diseases of the oral soft tissues,,
559,Influenza,Influenza with other respiratory manifestations,,
560,Duodenitis,"Duodenitis, without mention of hemorrhage",,
561,Blood in ear canal,Other otorrhea,,
562,Urethritis - chronic,Urethral syndrome NOS,,
563,Frostbite,Frostbite of other and unspecified sites,,
564,Ulcer - aphthous,Oral aphthae,,
565,Hypoparathyroidism,Hypoparathyroidism,,
566,Splenectomy,,,
567,Contracture,"Contracture of joint, site unspecified",,
568,Insulinoma - malignant,Benign neoplasm of islets of Langerhans,,
569,Compression fracture,"Fracture of unspecified bone, closed",,
570,Melanosis coli,Other specified disorders of intestines,,
571,Hepatic cancer,"Malignant neoplasm of liver, not specified as primary or secondary",,
572,Androgen deficiency,Other testicular hypofunction,,
573,Phimosis,Redundant prepuce and phimosis,,
574,Thiamine deficiency,Other and unspecified manifestations of thiamine deficiency,,
575,Scarlet fever,Scarlet fever,,
576,Urinary tract infection (UTI),"Urinary tract infection, site not specified",,
577,Endometrioid carcinoma,,,
578,Temporomandibular joint syndrome (TMJ),"Temporomandibular joint disorders, unspecified",,
579,Edema,Edema,,
580,Amaurosis fugax,Transient retinal arterial occlusion,,
581,Knee sprain,Sprain of unspecified site of knee and leg,,
582,Dermatomyositis,Dermatomyositis,,
583,Chronic obstructive pulmonary disease exacerbation,Obstructive chronic bronchitis with (acute) exacerbation,,
584,Mucocutaneous leishmaniasis,"Leishmaniasis, unspecified",,
585,Hyperbilirubinemia,"Jaundice, unspecified, not of newborn",,
586,Skull fracture,"Other closed skull fracture without mention of intracranial injury, with state of consciousness unspecified",,
587,Hepatic abscess,Abscess of liver,,
588,Cerumen impaction,Impacted cerumen,,
589,Pituitary adenoma,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,,
590,Conjunctivitis - bacterial,"Conjunctivitis, unspecified",,
591,Exostosis,Exostosis of unspecified site,,
592,Vertigo,Dizziness and giddiness,,
593,Hysterectomy,Laparoscopic total abdominal hysterectomy,,
594,Pubic lice,Phthirus pubis [pubic louse],,
595,Nevus - pigmented,"Benign neoplasm of skin, site unspecified",,
596,Seborrhea,Seborrhea,,
597,Burn - chemical,"Burn of unspecified site, unspecified degree",,
598,Herpangina,Herpangina,,
599,Nerve entrapment syndrome,Mononeuritis of unspecified site,,
600,Esophageal diverticulum,"Diverticulum of esophagus, acquired",,
601,Vomiting - persistent,Persistent vomiting,,
602,Vitreous hemorrhage,Vitreous hemorrhage,,
603,Joint effusion,"Effusion of joint, site unspecified",,
604,Asthma - severe persistent,"Asthma, unspecified type, without mention of status asthmaticus",,
605,Bronchial obstruction,Acute bronchospasm,,
606,Shoulder pain,Pain in joint involving shoulder region,,
607,Retinitis pigmentosa,Pigmentary retinal dystrophy,,
608,Knock knee,Genu valgum (acquired),,
609,Chondrosarcoma,"Malignant neoplasm of bone and articular cartilage, site unspecified",,
610,Pulmonary hypertension,,,
611,Encephalopathy - anoxic,Anoxic brain damage,,
612,Urethritis,"Urethritis, unspecified",,
613,Lichen nitidus,Lichen nitidus,,
614,Deep vein thrombosis,Embolism and thrombosis of unspecified site,,
615,Toe dislocation,,,
616,Hepatorenal syndrome,Hepatorenal syndrome,,
617,Renal failure - chronic,"Chronic kidney disease, unspecified",,
618,Common cold,Acute nasopharyngitis [common cold],,
619,Blue nevus,"Benign neoplasm of skin, site unspecified",,
620,Nevus - compound,"Benign neoplasm of skin, site unspecified",,
621,Cheilitis - acute,Diseases of lips,,
622,Castration,,,
623,Chlamydia infect,Other specified chlamydial infection in conditions classified elsewhere and of unspecified site,,
624,Osteogenesis imperfecta,Osteogenesis imperfecta,,
625,Chronic passive congestion,,,
626,Umbilical granuloma,Pyogenic granuloma of skin and subcutaneous tissue,,
627,Afibrinogenemia,Other and unspecified coagulation defects,,
628,Cystitis glandularis,,,
629,Non-Hodgkin's lymphoma,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",,
630,Tetralogy of Fallot (TOF),Tetralogy of Fallot,,
631,Pancreas - large,Other specified diseases of pancreas,,
632,Hand injury,"Other and unspecified injury to hand, except finger",,
633,Flank pain,"Abdominal pain, other specified site; multiple sites",,
634,Carcinoma - pseudosarcomatous,,,
635,Carcinoma - giant cell,Other malignant neoplasm of unspecified site,,
636,Abdominal surgery,,,
637,Cholecystitis,"Cholecystitis, unspecified",,
638,Leg ulcer,"Ulcer of lower limb, unspecified",,
639,Radial head subluxation,"Closed dislocation of elbow, unspecified site",,
640,Abscess,Cellulitis and abscess of unspecified sites,,
641,Binge eating,,,
642,Pulmonic insufficiency,"Other pulmonary insufficiency, not elsewhere classified",,
643,Abdominal aneurysm,Abdominal aortic aneurysm without mention of rupture,,
644,Pseudomembranous enterocolitis,Intestinal infection due to clostridium difficile,,
645,Depressive disorder - atypical,,,
646,Skin changes - atrophic,Other specified hypertrophic and atrophic conditions of skin,,
647,Gunshot wound (GSW),"Open wound(s) (multiple) of unspecified site(s), without mention of complication",,
648,Dyspraxia,Lack of coordination,,
649,Tracheoesophageal fistula,Tracheoesophageal fistula,,
650,Renal vein thrombosis,Embolism and thrombosis of renal vein,,
651,Rhabdomyoma,,,
652,Ureterocele,Other specified disorders of kidney and ureter,,
653,Conjunctivitis - allergic,Other chronic allergic conjunctivitis,,
654,Pruritus ani,Pruritus ani,,
655,Cardiac arrest,Cardiac arrest,,
656,Drug abuse - IV,"Other, mixed, or unspecified drug abuse, unspecified use",,
657,Anemia - vitamin B6 deficiency,Sideroblastic anemia,,
658,Pregnancy - ectopic,Unspecified complication following abortion or ectopic and molar pregnancies,,
659,Prostatic nodule,Nodular prostate without urinary obstruction,,
660,Mucopolysaccharidosis,Mucopolysaccharidosis,,
661,Arteriovenous malformation,"Congenital anomaly of the peripheral vascular system, unspecified site",,
662,Kaposi's sarcoma,"Other malignant neoplasm of skin, site unspecified",,
663,Otitis media - acute,Unspecified otitis media,,
664,Amylase - high,Other nonspecific abnormal serum enzyme levels,,
665,Retinopathy - proliferative diabetic,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with ophthalmic manifestations",,
666,Anemia - macrocytic,Unspecified deficiency anemia,,
667,Motor vehicle accident,Observation following other accident,,
668,Plague,"Plague, unspecified",,
669,Rectal prolapse,Rectal prolapse,,
670,Knee derangement - internal,,,
671,Hernia - incisional,Incisional hernia without mention of obstruction or gangrene,,
672,Subcorneal pustulosis,Subcorneal pustular dermatosis,,
673,Wound infection - postoperative,Other postoperative infection,,
674,Melanosis,Unspecified disorder of skin and subcutaneous tissue,,
675,Cystitis,"Cystitis, unspecified",,
676,Intervertebral disc degeneration,"Degeneration of intervertebral disc, site unspecified",,
677,Vocal cord palsy,Unspecified paralysis of vocal cords,,
678,Carbuncle,Carbuncle and furuncle of unspecified site,,
679,Diabetic nephropathy - adult controlled,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with renal manifestations",,
680,Chancroid,Chancroid,,
681,Urosepsis,"Urinary tract infection, site not specified",,
682,Herpes encephalitis,Herpetic meningoencephalitis,,
683,Di Guglielmo's syndrome,Acute erythremia and erythroleukemia without mention of remission,,
684,Appendolithiasis,Other and unspecified diseases of appendix,,
685,Bone disease - aluminum related,Other disorders of bone and cartilage,,
686,Plasmacytoma,Neoplasm of uncertain behavior of plasma cells,,
687,Pityriasis lichenoides chronica,,,
688,Abdominal mass,"Abdominal or pelvic swelling, mass, or lump, unspecified site",,
689,Pectus excavatum,Pectus excavatum,,
690,Retroperitoneal fibrosis,,,
691,Meningitis tuberculosis,,,
692,Granuloma - inguinale,Granuloma inguinale,,
693,Extremity ulcer,Chronic ulcer of unspecified site,,
694,Lens pseudoexfoliation syndrome,Pseudoexfoliation of lens capsule,,
695,Subdural hematoma,Subdural hemorrhage,,
696,Anxiety,"Anxiety state, unspecified",,
697,Wilson's disease,Disorders of copper metabolism,,
698,Darier-White disease,Other specified congenital anomalies of skin,,
699,Diabetic nephropathy - adult uncontrolled,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with renal manifestations",,
700,Influenza A infection,Influenza with other respiratory manifestations,,
701,Goiter - multinodular,Nontoxic multinodular goiter,,
702,Wegener's granulomatosis,Wegener's granulomatosis,,
703,Interstitial cystitis,Chronic interstitial cystitis,,
704,Renal abscess,Renal and perinephric abscess,,
705,Seminoma - anaplastic,Malignant neoplasm of other and unspecified testis,,
706,Squamous cell skin cancer,"Other malignant neoplasm of skin, site unspecified",,
707,Omphalocele,,,
708,Transient ischemic attack,Unspecified transient cerebral ischemia,,
709,Pilonidal dimple,Pilonidal cyst without mention of abscess,,
710,Hurthle cell adenoma,,,
711,Cachexia,Cachexia,,
712,Lordosis,Lordosis (acquired) (postural),,
713,Crying spells,,,
714,Vulvovaginitis,"Vaginitis and vulvovaginitis, unspecified",,
715,Emphysema,Other emphysema,,
716,Polypectomy,,,
717,Biliary colic,,,
718,Leukemoid reaction,Other specified disease of white blood cells,,
719,Radiculopathy,"Neuralgia, neuritis, and radiculitis, unspecified",,
720,Verruca vulgaris,"Viral warts, unspecified",,
721,Arthritis - gonococcal,Gonococcal arthritis,,
722,Open reduction/internal fixation,,,
723,Cardiac pacemaker,Cardiac pacemaker in situ,,
724,Keratitis,Unspecified keratitis,,
725,Rash - papular,Rash and other nonspecific skin eruption,,
726,Bartter syndrome,Bartter's syndrome,,
727,Throat hemorrhage,Hemorrhage from throat,,
728,Trichoepithelioma,"Neoplasm of unspecified nature of bone, soft tissue, and skin",,
729,Small for gestational age,"""Light-for-dates"" without mention of fetal malnutrition, unspecified [weight]",,
730,Motion sickness,Motion sickness,,
731,Lens - dislocated,Subluxation of lens,,
732,Ileectomy,,,
733,Dacryocystitis,"Dacryocystitis, unspecified",,
734,Pseudogout,Other disorders of calcium metabolism,,
735,Disseminated intravascular coagulation,Defibrination syndrome,,
736,Thoracostomy,,,
737,Mitral valve disorder,Other and unspecified mitral valve diseases,,
738,Porphyria,Disorders of porphyrin metabolism,,
739,Uterine sarcoma,"Malignant neoplasm of uterus, part unspecified",,
740,Ulna fracture,"Fracture of unspecified part of ulna (alone), closed",,
741,Cysticercosis,Cysticercosis,,
742,Anisocoria,Anisocoria,,
743,Ecchymosis,Contusion of unspecified site,,
744,Stool - heme positive,Nonspecific abnormal findings in stool contents,,
745,Cystic lymphangioma,"Lymphangioma, any site",,
746,Penile prosthesis,,,
747,Vasculitis - leukocytoclastic,Other specified hypersensitivity angiitis,,
748,Ureteral perforation,Other specified disorders of kidney and ureter,,
749,Lymphogranuloma venereum,Lymphogranuloma venereum,,
750,Carpal tunnel syndrome,Carpal tunnel syndrome,,
751,Glomerulonephritis - minimal change,Nephrotic syndrome with lesion of minimal change glomerulonephritis,,
752,Carcinoma - adenoid cystic,Other malignant neoplasm of unspecified site,,
753,Ophthalmologic surgery,,,
754,Mucinosis,Other specified hypertrophic and atrophic conditions of skin,,
755,Neuroma - traumatic,,,
756,Neurofibroma - plexiform,,,
757,Fallopian tube cancer,Malignant neoplasm of fallopian tube,,
758,Vulvitis,"Vaginitis and vulvovaginitis, unspecified",,
759,Wrist dislocation,,,
760,Pustulosis palmaris et plantaris,Rash and other nonspecific skin eruption,,
761,Urticaria - cholinergic,Cholinergic urticaria,,
762,Rhytids,Other specified hypertrophic and atrophic conditions of skin,,
763,Stiffness,,,
764,Small bowel ischemia,Unspecified vascular insufficiency of intestine,,
765,Dementia,"Senile dementia, uncomplicated",,
766,Status epilepticus,,,
767,Mesonephroma - benign,Benign neoplasm of unspecified site,,
768,Encephalopathy,"Encephalopathy, unspecified",,
769,Hyperpigmentation,"Dyschromia, unspecified",,
770,Pustules,Unspecified local infection of skin and subcutaneous tissue,,
771,Nerve entrapment surgery,,,
772,Wernicke's syndrome,Other and unspecified manifestations of thiamine deficiency,,
773,Rhabdomyosarcoma,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
774,Cystosarcoma phyllodes,Neoplasm of uncertain behavior of breast,,
775,Foreign body - nose,Foreign body in nose,,
776,Liver - small,"Other congenital anomalies of gallbladder, bile ducts, and liver",,
777,Cervical spondylosis,Cervical spondylosis without myelopathy,,
778,Adenoids - large,Hypertrophy of adenoids alone,,
779,Peptic ulcer - acute,Chronic ulcer of unspecified site,,
780,Child abuse,"Child abuse, unspecified",,
781,Anemia - iron deficiency,"Iron deficiency anemia, unspecified",,
782,Ketonuria,Acetonuria,,
783,Lentigo simplex,Other dyschromia,,
784,Spondylolisthesis,Acquired spondylolisthesis,,
785,Colic - infantile,"Abdominal pain, other specified site; multiple sites",,
786,Croup,Croup,,
787,Galactosemia,Galactosemia,,
788,Dermatitis - radiation,Dermatitis due to other radiation,,
789,Colitis,Other and unspecified noninfectious gastroenteritis and colitis,,
790,Portal vein thrombosis,Portal vein thrombosis,,
791,Embolism - tumor,Embolism and thrombosis of unspecified artery,,
792,Asbestosis,Asbestosis,,
793,Hyperchloremia,Electrolyte and fluid disorders not elsewhere classified,,
794,Blue nevus - cellular,"Benign neoplasm of skin, site unspecified",,
795,Adrenal insufficiency,Corticoadrenal insufficiency,,
796,Hirsutism,Hirsutism,,
797,Hypertension - malignant renovascular,Malignant renovascular hypertension,,
798,Cor pulmonale,"Chronic pulmonary heart disease, unspecified",,
799,Anorexia nervosa,Anorexia nervosa,,
800,Optic neuritis,"Optic neuritis, unspecified",,
801,Brain abscess,Intracranial abscess,,
802,Hemorrhoids,Unspecified hemorrhoids without mention of complication,,
803,Leydig cell tumor - malignant,,,
804,Tuberculosis skin test (PPD) reactive,Nonspecific reaction to tuberculin skin test without active tuberculosis,,
805,Human bite - accidental,Human bite,,
806,Urine retention,"Retention of urine, unspecified",,
807,Thymoma,Benign neoplasm of thymus,,
808,Esophageal varices,Esophageal varices without mention of bleeding,,
809,Onychomycosis,Dermatophytosis of nail,,
810,Otosclerosis,,,
811,Cystadenoma,Benign neoplasm of unspecified site,,
812,Embolism - septic,,,
813,Botulism,Botulism,,
814,Myeloid leukemia - acute,Acute myeloid leukemia without mention of remission,,
815,Aortic aneurysm,Aortic aneurysm of unspecified site without mention of rupture,,
816,Myeloid hyperplasia,,,
817,Kidney - horseshoe,Other specified congenital anomalies of kidney,,
818,Mitral valve replacement,Replacement of mitral valve with tissue graft,,
819,Transplant rejection,,,
820,Phenytoin toxicity,Poisoning by hydantoin derivatives,,
821,Breast pain,Mastodynia,,
822,Ameloblastoma,Benign neoplasm of lower jaw bone,,
823,Vaginal delivery - spontaneous,Normal delivery,,
824,Pickwickian syndrome,Other hyperalimentation,,
825,Atransferrinemia,Other disorders of plasma protein metabolism,,
826,Leg pain,Pain in limb,,
827,Anal fistula,Anal fistula,,
828,Pyogenic granuloma,Pyogenic granuloma of skin and subcutaneous tissue,,
829,Abdominal bruit,Other symptoms involving cardiovascular system,,
830,Small bowel - dilated,"Other congenital anomalies of gallbladder, bile ducts, and liver",,
831,Keratoderma - congenital,Other specified congenital anomalies of skin,,
832,Leiomyoma,,,
833,Cholecystectomy,,,
834,Colectomy,,,
835,Dialysis status,,,
836,Pulmonary resection,,,
837,Gingivitis,"Chronic gingivitis, plaque induced",,
838,Corneal abrasions,Superficial injury of cornea,,
839,Tooth abscess,Periapical abscess without sinus,,
840,Pheochromocytoma - malignant,Malignant neoplasm of adrenal gland,,
841,Glomus tumor,Hemangioma of unspecified site,,
842,Periodonitis - acute,"Aggressive periodontitis, unspecified",,
843,Speech disorder,Other speech disturbance,,
844,Renovascular hypertension,Benign renovascular hypertension,,
845,Histiocytoma - malignant fibrous,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
846,Feeding problem,Feeding difficulties and mismanagement,,
847,Obstructive apnea,Apnea,,
848,Testicular mass,Other specified disorders of male genital organs,,
849,Testicular cancer,Malignant neoplasm of other and unspecified testis,,
850,Cerebral contusion,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with state of consciousness unspecified",,
851,Lumbar vertebra fracture,,,
852,Agoraphobia without panic attack,,,
853,Dry gangrene,Gangrene,,
854,Orchiectomy,,,
855,Aortic valve - bicuspid,Congenital insufficiency of aortic valve,,
856,Comedocarcinoma,"Malignant neoplasm of breast (female), unspecified",,
857,Shoulder dystocia,,,
858,Von Willebrand's disease,von Willebrand's disease,,
859,Urethral stone,Calculus in urethra,,
860,Hepatitis - chronic,"Chronic hepatitis, unspecified",,
861,Dementia - alcohol-associated,Alcohol-induced persisting dementia,,
862,Glycogen storage disease,Glycogenosis,,
863,Peritoneal metastases,Secondary malignant neoplasm of retroperitoneum and peritoneum,,
864,Lymphoid hypoplasia,Other specified disease of white blood cells,,
865,Carcinoma - verrucous,Other malignant neoplasm of unspecified site,,
866,Transitional cell papilloma,Benign neoplasm of unspecified site,,
867,Epilepsy,"Epilepsy, unspecified, without mention of intractable epilepsy",,
868,Skin graft,,,
869,Renal transplant,,,
870,Tyrosinosis,Other disturbances of aromatic amino-acid metabolism,,
871,Immobilization,,,
872,Acinar cell tumor,"Neoplasm of uncertain behavior, site unspecified",,
873,Median nerve injury,Injury to median nerve,,
874,Wrist fracture,"Closed fracture of carpal bone, unspecified",,
875,Vertebral collapse,Pathologic fracture of vertebrae,,
876,Lymphadenopathy,Enlargement of lymph nodes,,
877,Tibia/fibula fracture,Closed fracture of unspecified part of fibula with tibia,,
878,Sympathectomy,,,
879,Erythroderma,Unspecified erythematous condition,,
880,Hepatocellular carcinoma,"Malignant neoplasm of liver, primary",,
881,Multiple myeloma,Multiple myeloma without mention of remission,,
882,Angiofibroma - juvenile,,,
883,Hammer toe,Other hammer toe (acquired),,
884,Spinal stenosis,Spinal stenosis of other region,,
885,Abuse - alcohol,"Alcohol abuse, unspecified drinking behavior",,
886,Hyperactivity,Attention deficit disorder of childhood with hyperactivity,,
887,Otitis media,Unspecified otitis media,,
888,Chalazion,Chalazion,,
889,Irritable bowel syndrome,Irritable bowel syndrome,,
890,Endoscopic retrograde cholangiopancreatography,,,
891,Eczema,"Contact dermatitis and other eczema, unspecified cause",,
892,Erythema nodosum,Erythema nodosum,,
893,Silicosis,Pneumoconiosis due to other silica or silicates,,
894,Reactive airway disease,Wheezing,,
895,Thrombotic thrombocytopenic purpura,Thrombotic microangiopathy,,
896,Miosis,"Miosis (persistent), not due to miotics",,
897,Inflammation - granulomatous,,,
898,Baker's cyst,Synovial cyst of popliteal space,,
899,Gastric retention,Dyspepsia and other specified disorders of function of stomach,,
900,Osteoporosis,"Osteoporosis, unspecified",,
901,Ocular histoplasmosis,Histoplasmosis retinitis,,
902,Tinea corporis,Dermatophytosis of the body,,
903,Hyperestrogenism,Hyperestrogenism,,
904,Tongue - coated,Hypertrophy of tongue papillae,,
905,Hemoglobinuria,Hemoglobinuria,,
906,Blount's disease,"Juvenile osteochondrosis of lower extremity, excluding foot",,
907,Knee fracture,Closed fracture of patella,,
908,Kyphoscoliosis,Other kyphoscoliosis and scoliosis,,
909,Jaw fracture,"Unspecified site of mandible, closed fracture",,
910,Hand pain,Pain in joint involving hand,,
911,Islet cell adenocarcinoma,Malignant neoplasm of islets of Langerhans,,
912,Zollinger-Ellison syndrome,Abnormality of secretion of gastrin,,
913,Vaginal odor,,,
914,Milium cyst,,,
915,Hypertension - benign renovascular,Benign renovascular hypertension,,
916,Adenoma - testicular,Benign neoplasm of testis,,
917,Carcinoma - Sertoli cell,Malignant neoplasm of other and unspecified testis,,
918,Duodenal trauma repair,,,
919,Soft tissue neoplasm - malignant,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
920,Diaper rash,Diaper or napkin rash,,
921,Sweets syndrome,Other specified erythematous conditions,,
922,Meatal stricture,Other specified disorders of prostate,,
923,Breast ulcer,Inflammatory disease of breast,,
924,Esophageal stricture,Stricture and stenosis of esophagus,,
925,Ureteropelvic junction obstruction,Other ureteric obstruction,,
926,Femur neck fracture,"Fracture of unspecified part of neck of femur, closed",,
927,Kerion,Dermatophytosis of scalp and beard,,
928,Leg cramps,Cramp of limb,,
929,Lymphocytosis,Other specified disease of white blood cells,,
930,Scar - keloid,Keloid scar,,
931,Folliculitis,Other specified diseases of hair and hair follicles,,
932,Skin pain - psychogenic,Skin disorder arising from mental factors,,
933,Urinary frequency,Urinary frequency,,
934,Hutchinson's melanotic freckle,"Carcinoma in situ of skin, site unspecified",,
935,Herpes zoster,Herpes zoster without mention of complication,,
936,Pregnant,"Pregnant state, incidental",,
937,Diabetes mellitus - non insulin dependent,"type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, without mention of complication",,
938,Infertility - male,"Male infertility, unspecified",,
939,Hyperopia,Hypermetropia,,
940,Tooth - impacted,Disturbances in tooth eruption,,
941,Chagas disease,Chagas' disease without mention of organ involvement,,
942,Lacunar infarct,,,
943,Dysthymia,Dysthymic disorder,,
944,Colon diverticulosis,Diverticulosis of colon (without mention of hemorrhage),,
945,Meningitis - amebic,Specific infections by free-living amebae,,
946,Blepharospasm,Blepharospasm,,
947,Foot ulcer,Ulcer of other part of foot,,
948,Menstrual spotting,,,
949,Pneumomediastinum,Interstitial emphysema,,
950,Bruit,Other symptoms involving cardiovascular system,,
951,Arm pain,Pain in limb,,
952,Periodontitis - apical,Chronic apical periodontitis,,
953,Dementia - multi-infarction,"Vascular dementia, uncomplicated",,
954,Upper respiratory infection,Acute upper respiratory infections of unspecified site,,
955,Ascites,Ascites,,
956,Malignant glioma,"Malignant neoplasm of brain, unspecified",,
957,Chordoma,Other malignant neoplasm of unspecified site,,
958,Mastocytoma,Neoplasm of uncertain behavior of histiocytic and mast cells,,
959,Dental/mouth surgery,,,
960,Schizophrenia - paranoid,"Paranoid type schizophrenia, unspecified state",,
961,Spinal cord lesion,Unspecified disease of spinal cord,,
962,Odontoid fracture,,,
963,Developmental delay,Unspecified delay in development,,
964,Renal abnormality - congenital,Unspecified congenital anomaly of urinary system,,
965,Spherocytosis,Hereditary spherocytosis,,
966,Adenoma - pleomorphic,,,
967,Sarcoma - myeloid,Myeloid sarcoma without mention of remission,,
968,Heat intolerance,,,
969,Dermatitis - seborrheic,"Seborheic dermatitis, unspecified",,
970,Small bowel resection,,,
971,Colon cancer screening,Screening for malignant neoplasms of other sites,,
972,Foot ulcer - diabetic,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with other specified manifestations",,
973,Narcotic abuse,"Other, mixed, or unspecified drug abuse, unspecified use",,
974,Cardiac prosthesis - infected,,,
975,Dystonia,Genetic torsion dystonia,,
976,Diplopia,Diplopia,,
977,Gastroenterostomy,,,
978,Syringoma,"Benign neoplasm of skin, site unspecified",,
979,Majocchi's granuloma,Deep seated dermatophytosis,,
980,Lymphomatoid papulosis,Essential thrombocythemia,,
981,Elbow sprain,Sprain of unspecified site of elbow and forearm,,
982,Fibroxanthoma,"Other benign neoplasm of connective and other soft tissue, site unspecified",,
983,Iritis,Unspecified iridocyclitis,,
984,Otitis externa,"Infective otitis externa, unspecified",,
985,Spastic perineum syndrome,,,
986,Carotid bruit,Other symptoms involving cardiovascular system,,
987,Duodenal ulcer,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction",,
988,Choking,Other symptoms involving head and neck,,
989,Retinal detachment,Unspecified retinal detachment,,
990,Angiolipoma,"Lipoma, unspecified site",,
991,Hepatoblastoma,"Malignant neoplasm of liver, primary",,
992,Hematochezia,Blood in stool,,
993,Oppositional defiant disorder (ODD),,,
994,Influenza B infection,Influenza with other respiratory manifestations,,
995,Cirrhosis - biliary,Biliary cirrhosis,,
996,Spina bifida,"Spina bifida, without mention of hydrocephalus, unspecified region",,
997,Delirium - acute,Delirium due to conditions classified elsewhere,,
998,Paraganglioma,Neoplasm of uncertain behavior of paraganglia,,
999,Respiratory arrest,Respiratory arrest,,
1000,Muscle disease,,,
1001,Fasciotomy,,,
1002,Cystic duct stone,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction",,
1003,Foreign body,Foreign body in unspecified site on external eye,,
1004,Dilitation and curettage,,,
1005,Tibial plateau fracture,"Unspecified fracture of ankle, closed",,
1006,Lymph surgery,,,
1007,Psoriatic erythroderma,Other psoriasis and similar disorders excluding psoriatic arthropathy,,
1008,Kidney - large,,,
1009,Copper deficiency,,,
1010,Brain stem disease,,,
1011,Onychophosis,Other specified diseases of nail,,
1012,Obesity,"Obesity, unspecified",,
1013,Oral candidiasis,Candidiasis of mouth,,
1014,Blepharitis,"Blepharitis, unspecified",,
1015,Miliaria,Prickly heat,,
1016,Spinal epidural abscess,,,
1017,Pericarditis - constrictive,Constrictive pericarditis,,
1018,Arthritis - psoriatic,Psoriatic arthropathy,,
1019,Ptosis,"Ptosis of eyelid, unspecified",,
1020,Finger fracture,"Closed fracture of phalanx or phalanges of hand, unspecified",,
1021,Uterine bleeding - abnormal,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,,
1022,Nabothian cyst,,,
1023,Tonsillar abscess,Peritonsillar abscess,,
1024,Retroperitoneal bleeding,"Hemorrhage, unspecified",,
1025,Stridor,Stridor,,
1026,Osteochondritis dissecans,Osteochondritis dissecans,,
1027,Diabetic retinopathy - pre-proliferative,Proliferative diabetic retinopathy,,
1028,Eclampsia - postpartum,,,
1029,Breast biopsy,,,
1030,Pneumonia - lipoid,Pneumonitis due to inhalation of oils and essences,,
1031,Hepatic vein obstruction,Other specified disorders of liver,,
1032,Anorexia,Anorexia,,
1033,Adnexal mass,Other specified symptoms associated with female genital organs,,
1034,Mesenteric vascular insufficiency,Chronic vascular insufficiency of intestine,,
1035,Herpes simplex ocular,Herpes simplex with unspecified ophthalmic complication,,
1036,Bruit - femoral,,,
1037,Pericardial surgery,,,
1038,Presbycusis,Presbyacusis,,
1039,Retroperitoneal extravasation,,,
1040,Pigmentation,,,
1041,Herpetic keratitis,Herpes simplex disciform keratitis,,
1042,Empty sella syndrome,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,,
1043,Renal mass,Unspecified disorder of kidney and ureter,,
1044,Bone surgery,,,
1045,Lid lag,,,
1046,Colostomy,Colostomy status,,
1047,Colon surgery,,,
1048,Foot polydactyly,,,
1049,Hand polydactyly,,,
1050,Hepatic failure,Other sequelae of chronic liver disease,,
1051,Bladder spasm,Unspecified disorder of bladder,,
1052,Sputum production,Abnormal sputum,,
